sample.id	species	sex	trt
HSM1	human	male	HM
PTF1	chimpanzee	female	CF
RMM1	rhesus	male	RM
HSF1	human	female	HF
PTM1	chimpanzee	male	CM
RMF1	rhesus	female	RF
RMF2	rhesus	female	RF
HSM2	human	male	HM
PTF2	chimpanzee	female	CF
RMM2	rhesus	male	RM
HSF2	human	female	HF
PRM2	chimpanzee	male	CM
RMM3	rhesus	male	RM
RMF3	rhesus	female	RF
HSM3	human	male	HM
PRF3	chimpanzee	female	CF
PTM3	chimpanzee	male	CM
HSF3	human	female	HF
